event_date,event_timestamp,event_name,user_pseudo_id,device_category,device_os,page_location,user_id,page
23-02-2025,173568,form_submit,339.572.387,mobile,Windows,https://smileguru.com,1,main
23-02-2025,173574,form_submit,unknown,tablet,Linux,https://smileguru.com/contact,2,Contact
23-02-2025,173572,form_submit,893.663.600,unknown,unknown,https://smileguru.com/orthodontics,3,Orthodontics
23-02-2025,173568,page_view,862.730.629,desktop,Android,https://smileguru.com/about,4,About
23-02-2025,173574,page_view,760.233.165,desktop,Windows,https://smileguru.com/about,5,About
23-02-2025,173574,page_view,760.233.165,desktop,Windows,https://smileguru.com/about,6,About
23-02-2025,173567,page_view,842.980.637,desktop,Android,https://smileguru.com/teeth-whitening,7,teeth-whitening
23-02-2025,173572,form_submit,734.526.177,smartwatch,Android,https://smileguru.com/home,8,Main
23-02-2025,173569,page_view,505.398.716,mobile,Windows,https://smileguru.com/about,9,About
23-02-2025,173572,unknown,708.566.257,tablet,Android,https://smileguru.com,10,main
23-02-2025,173567,form_submit,242.484.760,mobile,iOS,https://smileguru.com/about-us,11,About
23-02-2025,173568,form_submit,180.649.587,mobile,Windows,https://smileguru.com/dental-implants,12,Dental-implants
23-02-2025,173567,form_submit,744.833.376,tablet,Linux,https://smileguru.com/emergency-dental,13,Emergency-dental
23-02-2025,173567,form_submit,744.833.376,tablet,Linux,https://smileguru.com/emergency-dental,14,Emergency-dental
23-02-2025,173571,scroll,272.963.902,tablet,Windows,https://smileguru.com/index,15,Index
23-02-2025,173573,scroll,217.112.547,tablet,iOS,https://smileguru.com/teeth-whitening,16,teeth-whitening
23-02-2025,173575,form_submit,582.406.302,mobile,iOS,https://smileguru.com/about-us,17,About
23-02-2025,173571,scroll,189.279.843,desktop,Windows,https://smileguru.com,18,main
23-02-2025,173572,form_submit,254.258.393,tablet,Android,https://smileguru.com/contact,19,Contact
23-02-2025,173574,unknown,461.474.184,tablet,Android,https://smileguru.com/orthodontics,20,Orthodontics
23-02-2025,173572,scroll,889.328.367,unknown,unknown,https://smileguru.com/dental-implants,21,Dental-implants
23-02-2025,173568,scroll,639.807.978,mobile,unknown,https://smileguru.com/dental-implants,22,Dental-implants
23-02-2025,173575,page_view,unknown,tablet,Android,https://smileguru.com/contact,23,Contact
23-02-2025,173572,page_view,131.557.950,desktop,Windows,https://smileguru.com/index,24,Index
23-02-2025,173574,scroll,633.314.329,mobile,Windows,https://smileguru.com/contact,25,Contact
23-02-2025,173567,form_submit,520.635.879,desktop,unknown,https://smileguru.com,26,main
23-02-2025,173570,click,635.162.254,smartwatch,Windows,https://smileguru.com/about-us,27,About
23-02-2025,173570,click,717.774.268,tablet,iOS,https://smileguru.com/home,28,Main
23-02-2025,173573,page_view,856.782.213,mobile,iOS,https://smileguru.com/teeth-whitening,29,teeth-whitening
23-02-2025,173570,scroll,172.358.685,mobile,Android,https://smileguru.com/contact,30,Contact
23-02-2025,173570,scroll,172.358.685,mobile,Android,https://smileguru.com/contact,31,Contact
23-02-2025,173574,form_submit,119.942.236,mobile,Windows,https://smileguru.com/teeth-whitening,32,teeth-whitening
23-02-2025,173575,scroll,670.700.892,tablet,iOS,https://smileguru.com/about,33,About
23-02-2025,173575,click,158.151.418,unknown,Windows,https://smileguru.com/about,34,About
23-02-2025,173572,click,201.673.920,desktop,Windows,https://smileguru.com/teeth-whitening,35,teeth-whitening
23-02-2025,173567,click,184.440.721,desktop,Android,https://smileguru.com/home,36,Main
23-02-2025,173568,click,548.854.689,unknown,iOS,https://smileguru.com/home,37,Main
23-02-2025,173569,click,785.229.638,tablet,iOS,https://smileguru.com/about,38,About
23-02-2025,173573,form_submit,722.535.431,tablet,Windows,https://smileguru.com/about-us,39,About
23-02-2025,173568,scroll,102.511.614,mobile,Windows,https://smileguru.com/root-canal,40,Root-canal
23-02-2025,173567,form_submit,572.112.474,tablet,Windows,https://smileguru.com/contact,41,Contact
23-02-2025,173570,form_submit,233.659.486,mobile,Windows,https://smileguru.com/about-us,42,About
23-02-2025,173568,form_submit,927.303.416,tablet,iOS,https://smileguru.com/teeth-whitening,43,teeth-whitening
23-02-2025,173568,page_view,883.165.111,mobile,iOS,https://smileguru.com/cosmetic-dentistry,44,cosmetic-dentistry
23-02-2025,173568,scroll,931.155.994,mobile,iOS,https://smileguru.com/index,45,Index
23-02-2025,173572,page_view,929.733.837,desktop,unknown,https://smileguru.com/home,46,Main
23-02-2025,173569,scroll,256.866.596,mobile,Windows,https://smileguru.com/orthodontics,47,Orthodontics
23-02-2025,173568,unknown,642.923.380,desktop,unknown,https://smileguru.com/emergency-dental,48,Emergency-dental
23-02-2025,173572,scroll,unknown,mobile,Windows,https://smileguru.com,49,main
23-02-2025,173568,unknown,800.507.966,desktop,Android,https://smileguru.com/dental-implants,50,Dental-implants
23-02-2025,173574,page_view,557.786.614,unknown,iOS,https://smileguru.com/orthodontics,51,Orthodontics
